date,cases
2020-01-15,2
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,1
2020-01-22,2
2020-01-23,0
2020-01-24,2
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,3
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,2
2020-02-11,0
2020-02-12,0
2020-02-13,2
2020-02-14,4
2020-02-15,4
2020-02-16,3
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,7
2020-02-21,3
2020-02-22,8
2020-02-23,10
2020-02-24,11
2020-02-25,10
2020-02-26,5
2020-02-27,12
2020-02-28,17
2020-02-29,24
2020-03-01,43
2020-03-02,37
2020-03-03,46
2020-03-04,45
2020-03-05,55
2020-03-06,69
2020-03-07,81
2020-03-08,110
2020-03-09,191
2020-03-10,221
2020-03-11,249
2020-03-12,313
2020-03-13,376
2020-03-14,366
2020-03-15,466
2020-03-16,641
2020-03-17,684
2020-03-18,801
2020-03-19,647
2020-03-20,774
2020-03-21,688
2020-03-22,631
2020-03-23,779
2020-03-24,686
2020-03-25,684
2020-03-26,614
2020-03-27,632
2020-03-28,607
2020-03-29,477
2020-03-30,627
2020-03-31,482
2020-04-01,630
2020-04-02,514
2020-04-03,591
2020-04-04,473
2020-04-05,468
2020-04-06,598
2020-04-07,614
2020-04-08,616
2020-04-09,684
2020-04-10,776
2020-04-11,728
2020-04-12,648
2020-04-13,1043
2020-04-14,856
2020-04-15,955
2020-04-16,889
2020-04-17,930
2020-04-18,772
2020-04-19,524
2020-04-20,782
2020-04-21,586
2020-04-22,650
2020-04-23,640
2020-04-24,575
2020-04-25,562
2020-04-26,494
2020-04-27,660
2020-04-28,580
2020-04-29,547
2020-04-30,483
2020-05-01,475
2020-05-02,348
2020-05-03,313
2020-05-04,352
2020-05-05,398
2020-05-06,317
2020-05-07,369
2020-05-08,390
2020-05-09,291
2020-05-10,214
2020-05-11,374
2020-05-12,306
2020-05-13,284
2020-05-14,303
2020-05-15,379
2020-05-16,261
2020-05-17,208
2020-05-18,159
2020-05-19,206
2020-05-20,60
2020-05-21,2
