date,symptomatics
2020-01-01,30
2020-01-02,40
2020-01-03,50
2020-01-04,40
2020-01-05,50
2020-01-06,50
2020-01-07,50
2020-01-08,120
2020-01-09,100
2020-01-10,180
2020-01-11,190
2020-01-12,190
2020-01-13,260
2020-01-14,280
2020-01-15,450
2020-01-16,500
2020-01-17,670
2020-01-18,720
2020-01-19,900
2020-01-20,1390
2020-01-21,1580
2020-01-22,2000
2020-01-23,2490
2020-01-24,2760
2020-01-25,2650
2020-01-26,2790
2020-01-27,2750
2020-01-28,2650
2020-01-29,2400
2020-01-30,2340
2020-01-31,2200
2020-02-01,3130
2020-02-02,1950
2020-02-03,1640
2020-02-04,1430
2020-02-05,1220
2020-02-06,840
2020-02-07,720
2020-02-08,520
2020-02-09,350
2020-02-10,220
2020-02-11,130
