textbox22,Textbox9
generated on 05/05/2020 20:42:33 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Albania,European Region of WHO,South West Europe,2016,1,2016-01-04,2016-01-10,,2,0,0,0,,0,0,0,0,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2016,2,2016-01-11,2016-01-17,,29,0,3,0,,0,3,0,1,0,1,4,,No Report
Albania,European Region of WHO,South West Europe,2016,3,2016-01-18,2016-01-24,,61,0,16,0,,0,16,0,2,0,2,18,,No Report
Albania,European Region of WHO,South West Europe,2016,4,2016-01-25,2016-01-31,,56,0,6,0,,0,6,0,5,0,5,11,,No Report
Albania,European Region of WHO,South West Europe,2016,5,2016-02-01,2016-02-07,,99,0,24,2,,0,26,0,0,9,9,35,,No Report
Albania,European Region of WHO,South West Europe,2016,6,2016-02-08,2016-02-14,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,7,2016-02-15,2016-02-21,,80,0,16,2,,0,18,0,10,0,10,28,,No Report
Albania,European Region of WHO,South West Europe,2016,8,2016-02-22,2016-02-28,,74,0,14,0,,0,14,0,12,2,14,28,,No Report
Albania,European Region of WHO,South West Europe,2016,9,2016-02-29,2016-03-06,,39,0,12,0,,0,12,0,0,5,5,17,,No Report
Albania,European Region of WHO,South West Europe,2016,10,2016-03-07,2016-03-13,,52,0,13,0,,0,13,0,10,0,10,23,,No Report
Albania,European Region of WHO,South West Europe,2016,11,2016-03-14,2016-03-20,,53,0,4,0,,0,4,0,19,0,19,23,,No Report
Albania,European Region of WHO,South West Europe,2016,12,2016-03-21,2016-03-27,,58,0,1,0,,0,1,0,26,0,26,27,,No Report
Albania,European Region of WHO,South West Europe,2016,13,2016-03-28,2016-04-03,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,14,2016-04-04,2016-04-10,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,15,2016-04-11,2016-04-17,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,16,2016-04-18,2016-04-24,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,17,2016-04-25,2016-05-01,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,18,2016-05-02,2016-05-08,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,19,2016-05-09,2016-05-15,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,20,2016-05-16,2016-05-22,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,21,2016-05-23,2016-05-29,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,22,2016-05-30,2016-06-05,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,23,2016-06-06,2016-06-12,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,24,2016-06-13,2016-06-19,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,25,2016-06-20,2016-06-26,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,26,2016-06-27,2016-07-03,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,27,2016-07-04,2016-07-10,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,28,2016-07-11,2016-07-17,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,29,2016-07-18,2016-07-24,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,30,2016-07-25,2016-07-31,,,,,,,,,,,,,,,No Report
Albania,European Region of WHO,South West Europe,2016,31,2016-08-01,2016-08-07,,,,,,,,,,,,,,,No Report
