date,symptomatics
2020-02-20,40
2020-02-21,40
2020-02-22,50
2020-02-23,60
2020-02-24,70
2020-02-25,90
2020-02-26,150
2020-02-27,280
2020-02-28,230
2020-02-29,550
2020-03-01,650
2020-03-02,700
2020-03-03,750
2020-03-04,1050
2020-03-05,1300
2020-03-06,1450
2020-03-07,1750
2020-03-08,2750
2020-03-09,3650
2020-03-10,3700
2020-03-11,4750
2020-03-12,6000
2020-03-13,5550
2020-03-14,5950
2020-03-15,7500
2020-03-16,6600
2020-03-17,7000
2020-03-18,6200
2020-03-19,7400
2020-03-20,5250
2020-03-21,5000
2020-03-22,6500
2020-03-23,4950
2020-03-24,4800
2020-03-25,4300
2020-03-26,4050
2020-03-27,3500
2020-03-28,3000
2020-03-29,3700
2020-03-30,2750
2020-03-31,3450
2020-04-01,2550
2020-04-02,2650
2020-04-03,2000
2020-04-04,1950
2020-04-05,2250
2020-04-06,1950
2020-04-07,1900
2020-04-08,1750
2020-04-09,1550
2020-04-10,1050
2020-04-11,1000
2020-04-12,1250
2020-04-13,800
2020-04-14,800
2020-04-15,600
2020-04-16,500
2020-04-17,450
2020-04-18,400
2020-04-19,500
2020-04-20,450
2020-04-21,450
2020-04-22,250
2020-04-23,200
2020-04-24,250
2020-04-25,250
2020-04-26,280
2020-04-27,280
2020-04-28,80
2020-04-29,50
2020-04-30,40
2020-05-01,10
2020-05-02,5
2020-05-03,3
2020-05-04,0
2020-05-05,0
